State,District,Latitude,Longitude,Crop,Market,Min_Price,Max_Price,Modal_Price,Trend,Last_Updated
Tamil Nadu,Ramanathapuram,9.3639,78.8395,Maize,Ramanathapuram Mandi,1988,2343,2106,Decreasing,2026-08-14
Tamil Nadu,Tirunelveli,8.7139,77.7567,Maize,Tirunelveli Market,1876,2178,2060,Volatile,2026-08-14
Tamil Nadu,Thoothukudi,8.7642,78.1348,Maize,Thoothukudi Uzhavar Sandhai,2009,2358,2157,Increasing,2026-08-14
Tamil Nadu,Kanyakumari,8.0883,77.5385,Maize,Kanyakumari Mandi,1984,2374,2135,Stable,2026-08-14
Tamil Nadu,Cuddalore,11.748,79.7714,Maize,Cuddalore Market,1837,2122,1980,Decreasing,2026-08-14
Tamil Nadu,Villupuram,11.9401,79.4861,Maize,Villupuram Uzhavar Sandhai,1761,2081,1955,Volatile,2026-08-14
Tamil Nadu,Kallakurichi,11.7401,78.9597,Maize,Kallakurichi Mandi,1871,2129,1968,Increasing,2026-08-14
Tamil Nadu,Vellore,12.9165,79.1325,Maize,Vellore Market,1889,2129,2008,Stable,2026-08-14
Tamil Nadu,Ranipet,12.924,79.3333,Maize,Ranipet Uzhavar Sandhai,1922,2298,2076,Decreasing,2026-08-14
Tamil Nadu,Tirupattur,12.496,78.5645,Maize,Tirupattur Mandi,1913,2211,2030,Volatile,2026-08-14
Tamil Nadu,Tiruvannamalai,12.2253,79.0747,Maize,Tiruvannamalai Market,2008,2311,2141,Increasing,2026-08-14
Tamil Nadu,Kanchipuram,12.8342,79.7036,Maize,Kanchipuram Uzhavar Sandhai,1968,2250,2098,Stable,2026-08-14
Tamil Nadu,Chengalpattu,12.6819,79.9671,Maize,Chengalpattu Mandi,1994,2338,2099,Decreasing,2026-08-14
Tamil Nadu,Thiruvallur,13.1439,79.9087,Maize,Thiruvallur Market,1779,2061,1948,Volatile,2026-08-14
Tamil Nadu,Krishnagiri,12.5186,78.2137,Maize,Krishnagiri Uzhavar Sandhai,1878,2132,1998,Increasing,2026-08-14
Tamil Nadu,Dharmapuri,12.1211,78.1582,Maize,Dharmapuri Mandi,1828,2208,1979,Stable,2026-08-14
Tamil Nadu,Coimbatore,11.0168,76.9558,Turmeric,Coimbatore Uzhavar Sandhai,7815,9017,8451,Stable,2026-08-14
Tamil Nadu,Tiruppur,11.1085,77.3411,Turmeric,Tiruppur Mandi,7917,9157,8669,Decreasing,2026-08-14
Tamil Nadu,Erode,11.341,77.7172,Turmeric,Erode Market,8398,9698,8866,Volatile,2026-08-14
Tamil Nadu,Salem,11.6643,78.146,Turmeric,Salem Uzhavar Sandhai,8245,9537,8841,Increasing,2026-08-14
Tamil Nadu,Namakkal,11.2189,78.1674,Turmeric,Namakkal Mandi,8364,9937,8922,Stable,2026-08-14
Tamil Nadu,Karur,10.9601,78.0766,Turmeric,Karur Market,8388,9823,9164,Decreasing,2026-08-14
Tamil Nadu,Trichy,10.7905,78.7047,Turmeric,Trichy Uzhavar Sandhai,8881,9772,9364,Volatile,2026-08-14
Tamil Nadu,Thanjavur,10.7867,79.1378,Turmeric,Thanjavur Mandi,8476,9913,9307,Increasing,2026-08-14
Tamil Nadu,Tiruvarur,10.766,79.6344,Turmeric,Tiruvarur Market,9070,10640,9556,Stable,2026-08-14
Tamil Nadu,Nagapattinam,10.7672,79.8449,Turmeric,Nagapattinam Uzhavar Sandhai,8130,9635,8805,Decreasing,2026-08-14
Tamil Nadu,Madurai,9.9252,78.1198,Turmeric,Madurai Mandi,7874,9242,8555,Volatile,2026-08-14
Tamil Nadu,Dindigul,10.3673,77.9803,Turmeric,Dindigul Market,8363,9738,9078,Increasing,2026-08-14
Tamil Nadu,Theni,10.0104,77.4768,Turmeric,Theni Uzhavar Sandhai,8043,9658,8902,Stable,2026-08-14
Tamil Nadu,Sivaganga,9.8433,78.4809,Turmeric,Sivaganga Mandi,8412,9947,8952,Decreasing,2026-08-14
Tamil Nadu,Ramanathapuram,9.3639,78.8395,Turmeric,Ramanathapuram Market,8413,9746,9243,Volatile,2026-08-14
Tamil Nadu,Tirunelveli,8.7139,77.7567,Turmeric,Tirunelveli Uzhavar Sandhai,8719,10061,9356,Increasing,2026-08-14
Tamil Nadu,Thoothukudi,8.7642,78.1348,Turmeric,Thoothukudi Mandi,8657,10531,9462,Stable,2026-08-14
Tamil Nadu,Kanyakumari,8.0883,77.5385,Turmeric,Kanyakumari Market,8965,10113,9641,Decreasing,2026-08-14
Tamil Nadu,Cuddalore,11.748,79.7714,Turmeric,Cuddalore Uzhavar Sandhai,7901,9201,8458,Volatile,2026-08-14
Tamil Nadu,Villupuram,11.9401,79.4861,Turmeric,Villupuram Mandi,8247,9144,8772,Increasing,2026-08-14
Tamil Nadu,Kallakurichi,11.7401,78.9597,Turmeric,Kallakurichi Market,8535,9476,8996,Stable,2026-08-14
Tamil Nadu,Vellore,12.9165,79.1325,Turmeric,Vellore Uzhavar Sandhai,8154,9784,8772,Decreasing,2026-08-14
Tamil Nadu,Ranipet,12.924,79.3333,Turmeric,Ranipet Mandi,8684,10227,9158,Volatile,2026-08-14
Tamil Nadu,Tirupattur,12.496,78.5645,Turmeric,Tirupattur Market,8477,9597,9046,Increasing,2026-08-14
Tamil Nadu,Tiruvannamalai,12.2253,79.0747,Turmeric,Tiruvannamalai Uzhavar Sandhai,8529,9644,9172,Stable,2026-08-14
Tamil Nadu,Kanchipuram,12.8342,79.7036,Turmeric,Kanchipuram Mandi,8990,10522,9523,Decreasing,2026-08-14
Tamil Nadu,Chengalpattu,12.6819,79.9671,Turmeric,Chengalpattu Market,8638,9854,9430,Volatile,2026-08-14
Tamil Nadu,Thiruvallur,13.1439,79.9087,Turmeric,Thiruvallur Uzhavar Sandhai,8012,9289,8649,Increasing,2026-08-14
Tamil Nadu,Krishnagiri,12.5186,78.2137,Turmeric,Krishnagiri Mandi,8160,9379,8905,Stable,2026-08-14
Tamil Nadu,Dharmapuri,12.1211,78.1582,Turmeric,Dharmapuri Market,8104,9434,8752,Decreasing,2026-08-14
Tamil Nadu,Coimbatore,11.0168,76.9558,Coconut,Coimbatore Mandi,10835,12121,11579,Decreasing,2026-08-14
Tamil Nadu,Tiruppur,11.1085,77.3411,Coconut,Tiruppur Market,10626,12862,11521,Volatile,2026-08-14
Tamil Nadu,Erode,11.341,77.7172,Coconut,Erode Uzhavar Sandhai,11461,12887,12121,Increasing,2026-08-14
Tamil Nadu,Salem,11.6643,78.146,Coconut,Salem Mandi,11387,13440,12019,Stable,2026-08-14
Tamil Nadu,Namakkal,11.2189,78.1674,Coconut,Namakkal Market,11019,12961,12135,Decreasing,2026-08-14
Tamil Nadu,Karur,10.9601,78.0766,Coconut,Karur Uzhavar Sandhai,11317,13205,12144,Volatile,2026-08-14
Tamil Nadu,Trichy,10.7905,78.7047,Coconut,Trichy Mandi,11136,12855,12203,Increasing,2026-08-14
Tamil Nadu,Thanjavur,10.7867,79.1378,Coconut,Thanjavur Market,11485,13293,12404,Stable,2026-08-14
Tamil Nadu,Tiruvarur,10.766,79.6344,Coconut,Tiruvarur Uzhavar Sandhai,11910,14237,12732,Decreasing,2026-08-14
Tamil Nadu,Nagapattinam,10.7672,79.8449,Coconut,Nagapattinam Mandi,10851,12079,11421,Volatile,2026-08-14
Tamil Nadu,Madurai,9.9252,78.1198,Coconut,Madurai Market,10955,12200,11578,Increasing,2026-08-14
Tamil Nadu,Dindigul,10.3673,77.9803,Coconut,Dindigul Uzhavar Sandhai,11284,12891,11946,Stable,2026-08-14
Tamil Nadu,Theni,10.0104,77.4768,Coconut,Theni Mandi,10798,13377,11976,Decreasing,2026-08-14
Tamil Nadu,Sivaganga,9.8433,78.4809,Coconut,Sivaganga Market,11313,13045,11972,Volatile,2026-08-14
Tamil Nadu,Ramanathapuram,9.3639,78.8395,Coconut,Ramanathapuram Uzhavar Sandhai,11049,13092,12130,Increasing,2026-08-14
Tamil Nadu,Tirunelveli,8.7139,77.7567,Coconut,Tirunelveli Mandi,11342,13094,12287,Stable,2026-08-14
Tamil Nadu,Thoothukudi,8.7642,78.1348,Coconut,Thoothukudi Market,11559,13289,12683,Decreasing,2026-08-14
Tamil Nadu,Kanyakumari,8.0883,77.5385,Coconut,Kanyakumari Uzhavar Sandhai,11789,13765,12912,Volatile,2026-08-14
Tamil Nadu,Cuddalore,11.748,79.7714,Coconut,Cuddalore Mandi,10970,12692,11574,Increasing,2026-08-14
Tamil Nadu,Villupuram,11.9401,79.4861,Coconut,Villupuram Market,10980,12476,11993,Stable,2026-08-14
Tamil Nadu,Kallakurichi,11.7401,78.9597,Coconut,Kallakurichi Uzhavar Sandhai,10964,12968,12120,Decreasing,2026-08-14
Tamil Nadu,Vellore,12.9165,79.1325,Coconut,Vellore Mandi,11305,12850,12325,Volatile,2026-08-14
Tamil Nadu,Ranipet,12.924,79.3333,Coconut,Ranipet Market,11524,13304,12447,Increasing,2026-08-14
Tamil Nadu,Tirupattur,12.496,78.5645,Coconut,Tirupattur Uzhavar Sandhai,11398,13661,12429,Stable,2026-08-14
Tamil Nadu,Tiruvannamalai,12.2253,79.0747,Coconut,Tiruvannamalai Mandi,11500,13908,12754,Decreasing,2026-08-14
Tamil Nadu,Kanchipuram,12.8342,79.7036,Coconut,Kanchipuram Market,11744,14209,12773,Volatile,2026-08-14
Tamil Nadu,Chengalpattu,12.6819,79.9671,Coconut,Chengalpattu Uzhavar Sandhai,12279,13440,12813,Increasing,2026-08-14
Tamil Nadu,Thiruvallur,13.1439,79.9087,Coconut,Thiruvallur Mandi,10656,12999,11790,Stable,2026-08-14
Tamil Nadu,Krishnagiri,12.5186,78.2137,Coconut,Krishnagiri Market,10728,12828,11719,Decreasing,2026-08-14
Tamil Nadu,Dharmapuri,12.1211,78.1582,Coconut,Dharmapuri Uzhavar Sandhai,11342,13273,11939,Volatile,2026-08-14
Tamil Nadu,Coimbatore,11.0168,76.9558,Groundnut,Coimbatore Market,5772,6586,6049,Volatile,2026-08-14
Tamil Nadu,Tiruppur,11.1085,77.3411,Groundnut,Tiruppur Uzhavar Sandhai,5890,6934,6222,Increasing,2026-08-14
Tamil Nadu,Erode,11.341,77.7172,Groundnut,Erode Mandi,5896,6428,6173,Stable,2026-08-14
Tamil Nadu,Salem,11.6643,78.146,Groundnut,Salem Market,5734,6852,6136,Decreasing,2026-08-14
Tamil Nadu,Namakkal,11.2189,78.1674,Groundnut,Namakkal Uzhavar Sandhai,6085,7201,6455,Volatile,2026-08-14
Tamil Nadu,Karur,10.9601,78.0766,Groundnut,Karur Mandi,6032,6864,6567,Increasing,2026-08-14
Tamil Nadu,Trichy,10.7905,78.7047,Groundnut,Trichy Market,5871,6877,6373,Stable,2026-08-14
Tamil Nadu,Thanjavur,10.7867,79.1378,Groundnut,Thanjavur Uzhavar Sandhai,6091,7261,6658,Decreasing,2026-08-14
