State,District,Latitude,Longitude,Texture,pH,Nitrogen,Organic_Carbon,Sand,Clay,Silt,CEC,Bulk_Density,Field_Capacity,Wilting_Point,Drainage
Tamil Nadu,Trichy,10.7905,78.7047,Red Loam,6.14,High,High,49,20,31,16.11,1.21,0.33,0.13,Good
Tamil Nadu,Thanjavur,10.7867,79.1378,Loam,6.63,Medium,Medium,39,28,33,18.2,1.21,0.37,0.12,Good
Tamil Nadu,Thanjavur,10.7867,79.1378,Clay Loam,6.48,High,Low,35,32,33,11.66,1.25,0.28,0.17,Good
Tamil Nadu,Thanjavur,10.7867,79.1378,Sandy Loam,6.88,High,Low,54,20,26,14.98,1.35,0.26,0.14,Moderate
Tamil Nadu,Thanjavur,10.7867,79.1378,Clay,6.76,High,Low,30,38,32,19.26,1.57,0.33,0.14,Moderate
Tamil Nadu,Thanjavur,10.7867,79.1378,Red Loam,6.08,Low,Low,46,23,31,13.88,1.39,0.26,0.13,Good
Tamil Nadu,Tiruvarur,10.766,79.6344,Loam,6.62,High,Low,39,26,35,19.1,1.58,0.3,0.12,Good
Tamil Nadu,Tiruvarur,10.766,79.6344,Clay Loam,6.77,High,Low,39,30,31,18.79,1.3,0.23,0.11,Good
Tamil Nadu,Tiruvarur,10.766,79.6344,Sandy Loam,6.8,High,Medium,56,20,24,23.31,1.29,0.35,0.13,Moderate
Tamil Nadu,Tiruvarur,10.766,79.6344,Clay,6.75,High,Medium,33,43,24,17.68,1.39,0.35,0.17,Moderate
Tamil Nadu,Tiruvarur,10.766,79.6344,Red Loam,6.04,Medium,Low,50,22,28,23.31,1.53,0.35,0.18,Good
Tamil Nadu,Nagapattinam,10.7672,79.8449,Loam,6.55,Medium,Medium,40,25,35,17.65,1.31,0.33,0.1,Good
Tamil Nadu,Nagapattinam,10.7672,79.8449,Clay Loam,6.9,High,High,42,33,25,14.29,1.22,0.28,0.16,Good
Tamil Nadu,Nagapattinam,10.7672,79.8449,Sandy Loam,7.04,Low,Low,56,22,22,11.99,1.36,0.31,0.13,Moderate
Tamil Nadu,Nagapattinam,10.7672,79.8449,Clay,7.02,Medium,Medium,31,38,31,17.58,1.34,0.38,0.11,Moderate
Tamil Nadu,Nagapattinam,10.7672,79.8449,Red Loam,6.32,Medium,Medium,44,27,29,21.37,1.56,0.38,0.22,Good
Tamil Nadu,Madurai,9.9252,78.1198,Loam,6.24,Low,Medium,46,24,30,17.55,1.27,0.36,0.16,Good
Tamil Nadu,Madurai,9.9252,78.1198,Clay Loam,6.89,Low,Medium,34,35,31,14.24,1.41,0.32,0.12,Good
Tamil Nadu,Madurai,9.9252,78.1198,Sandy Loam,6.6,Low,High,59,21,20,11.02,1.31,0.27,0.11,Moderate
Tamil Nadu,Madurai,9.9252,78.1198,Clay,6.89,High,High,35,37,28,13.46,1.34,0.35,0.21,Moderate
Tamil Nadu,Madurai,9.9252,78.1198,Red Loam,6.12,Medium,Medium,45,21,34,13.71,1.46,0.25,0.14,Good
Tamil Nadu,Dindigul,10.3673,77.9803,Loam,6.43,Medium,Medium,43,31,26,12.47,1.52,0.26,0.18,Good
Tamil Nadu,Dindigul,10.3673,77.9803,Clay Loam,6.62,High,Medium,39,36,25,12.98,1.38,0.31,0.19,Good
Tamil Nadu,Dindigul,10.3673,77.9803,Sandy Loam,6.77,Medium,Medium,59,15,26,21.78,1.38,0.24,0.16,Moderate
Tamil Nadu,Dindigul,10.3673,77.9803,Clay,6.77,Low,Medium,30,44,26,14.11,1.38,0.28,0.09,Moderate
Tamil Nadu,Dindigul,10.3673,77.9803,Red Loam,6.31,Low,High,50,25,25,20.74,1.4,0.33,0.17,Good
Tamil Nadu,Theni,10.0104,77.4768,Loam,6.57,Low,Medium,46,32,22,14.93,1.33,0.37,0.18,Good
Tamil Nadu,Theni,10.0104,77.4768,Clay Loam,6.46,Low,Medium,42,34,24,18.11,1.44,0.35,0.19,Good
Tamil Nadu,Theni,10.0104,77.4768,Sandy Loam,6.98,Low,Low,61,19,20,20.6,1.45,0.33,0.21,Moderate
Tamil Nadu,Theni,10.0104,77.4768,Clay,6.81,High,Medium,31,43,26,18.72,1.35,0.31,0.11,Moderate
Tamil Nadu,Theni,10.0104,77.4768,Red Loam,6.33,Medium,Low,45,22,33,23.2,1.28,0.33,0.18,Good
Tamil Nadu,Sivaganga,9.8433,78.4809,Loam,6.19,High,High,44,32,24,17.83,1.24,0.26,0.14,Good
Tamil Nadu,Sivaganga,9.8433,78.4809,Clay Loam,6.54,Medium,High,42,33,25,19.28,1.34,0.27,0.15,Good
Tamil Nadu,Sivaganga,9.8433,78.4809,Sandy Loam,6.79,Low,High,59,18,23,16.86,1.21,0.35,0.12,Moderate
Tamil Nadu,Sivaganga,9.8433,78.4809,Clay,7.03,Medium,High,31,41,28,21.79,1.36,0.25,0.1,Moderate
Tamil Nadu,Sivaganga,9.8433,78.4809,Red Loam,6.16,High,High,45,28,27,20.72,1.32,0.3,0.1,Good
Tamil Nadu,Ramanathapuram,9.3639,78.8395,Loam,6.4,Medium,Medium,46,29,25,19.25,1.34,0.23,0.15,Good
Tamil Nadu,Ramanathapuram,9.3639,78.8395,Clay Loam,6.85,High,Medium,38,38,24,18.83,1.57,0.38,0.09,Good
Tamil Nadu,Ramanathapuram,9.3639,78.8395,Sandy Loam,6.67,High,Low,60,22,18,17.19,1.52,0.26,0.2,Moderate
Tamil Nadu,Ramanathapuram,9.3639,78.8395,Clay,6.89,Medium,High,36,41,23,15.49,1.45,0.31,0.11,Moderate
Tamil Nadu,Ramanathapuram,9.3639,78.8395,Red Loam,6.23,Low,High,46,22,32,18.02,1.52,0.36,0.13,Good
Tamil Nadu,Tirunelveli,8.7139,77.7567,Loam,6.3,Medium,High,40,26,34,19.7,1.25,0.25,0.17,Good
Tamil Nadu,Tirunelveli,8.7139,77.7567,Clay Loam,6.83,High,High,36,36,28,16.86,1.42,0.22,0.11,Good
Tamil Nadu,Tirunelveli,8.7139,77.7567,Sandy Loam,6.73,Medium,High,62,15,23,20.46,1.26,0.27,0.18,Moderate
Tamil Nadu,Tirunelveli,8.7139,77.7567,Clay,6.67,Low,Medium,28,36,36,18.2,1.48,0.35,0.12,Moderate
Tamil Nadu,Tirunelveli,8.7139,77.7567,Red Loam,6.33,Low,Low,46,28,26,15.92,1.37,0.35,0.11,Good
Tamil Nadu,Thoothukudi,8.7642,78.1348,Loam,6.26,Medium,Low,45,27,28,17.5,1.55,0.34,0.15,Good
Tamil Nadu,Thoothukudi,8.7642,78.1348,Clay Loam,6.63,High,High,37,34,29,16.17,1.58,0.32,0.1,Good
Tamil Nadu,Thoothukudi,8.7642,78.1348,Sandy Loam,7.0,Low,Medium,57,15,28,20.01,1.45,0.25,0.11,Moderate
Tamil Nadu,Thoothukudi,8.7642,78.1348,Clay,6.97,Low,High,31,42,27,23.59,1.46,0.37,0.19,Moderate
Tamil Nadu,Thoothukudi,8.7642,78.1348,Red Loam,6.09,Low,Medium,49,26,25,17.29,1.55,0.35,0.15,Good
Tamil Nadu,Kanyakumari,8.0883,77.5385,Loam,6.22,Low,Medium,40,32,28,16.38,1.44,0.31,0.21,Good
Tamil Nadu,Kanyakumari,8.0883,77.5385,Clay Loam,6.79,High,Low,39,34,27,16.45,1.34,0.35,0.16,Good
Tamil Nadu,Kanyakumari,8.0883,77.5385,Sandy Loam,6.82,Medium,Low,55,18,27,11.13,1.22,0.3,0.15,Moderate
Tamil Nadu,Kanyakumari,8.0883,77.5385,Clay,6.7,High,Low,35,43,22,12.14,1.33,0.22,0.13,Moderate
Tamil Nadu,Kanyakumari,8.0883,77.5385,Red Loam,6.03,Low,High,48,20,32,23.59,1.5,0.3,0.19,Good
Tamil Nadu,Cuddalore,11.748,79.7714,Loam,6.58,Medium,Medium,43,26,31,13.39,1.49,0.29,0.12,Good
Tamil Nadu,Cuddalore,11.748,79.7714,Clay Loam,6.57,Low,Medium,39,36,25,13.49,1.27,0.25,0.1,Good
Tamil Nadu,Cuddalore,11.748,79.7714,Sandy Loam,6.79,High,Low,60,21,19,16.99,1.29,0.34,0.16,Moderate
Tamil Nadu,Cuddalore,11.748,79.7714,Clay,7.04,High,Medium,32,39,29,13.74,1.37,0.34,0.09,Moderate
Tamil Nadu,Cuddalore,11.748,79.7714,Red Loam,6.25,High,Low,52,22,26,17.88,1.52,0.31,0.16,Good
Tamil Nadu,Villupuram,11.9401,79.4861,Loam,6.38,Medium,Medium,39,25,36,23.67,1.3,0.23,0.17,Good
Tamil Nadu,Villupuram,11.9401,79.4861,Clay Loam,6.53,Low,Medium,38,35,27,12.35,1.56,0.25,0.19,Good
Tamil Nadu,Villupuram,11.9401,79.4861,Sandy Loam,6.95,Medium,High,62,15,23,19.34,1.34,0.36,0.21,Moderate
Tamil Nadu,Villupuram,11.9401,79.4861,Clay,6.88,Low,High,36,36,28,19.12,1.39,0.27,0.11,Moderate
Tamil Nadu,Villupuram,11.9401,79.4861,Red Loam,5.98,Medium,High,47,20,33,19.05,1.39,0.26,0.21,Good
Tamil Nadu,Kallakurichi,11.7401,78.9597,Loam,6.51,High,High,40,32,28,18.17,1.3,0.35,0.16,Good
Tamil Nadu,Kallakurichi,11.7401,78.9597,Clay Loam,6.56,Low,Low,40,37,23,10.44,1.37,0.31,0.15,Good
Tamil Nadu,Kallakurichi,11.7401,78.9597,Sandy Loam,6.86,Low,High,56,17,27,12.79,1.5,0.28,0.22,Moderate
Tamil Nadu,Kallakurichi,11.7401,78.9597,Clay,6.98,Low,Medium,35,37,28,11.04,1.5,0.38,0.16,Moderate
Tamil Nadu,Kallakurichi,11.7401,78.9597,Red Loam,6.21,High,Low,47,27,26,19.61,1.33,0.3,0.1,Good
Tamil Nadu,Vellore,12.9165,79.1325,Loam,6.15,High,Medium,44,25,31,18.81,1.47,0.27,0.21,Good
Tamil Nadu,Vellore,12.9165,79.1325,Clay Loam,6.49,Low,Low,34,34,32,15.28,1.3,0.27,0.18,Good
Tamil Nadu,Vellore,12.9165,79.1325,Sandy Loam,6.89,High,High,56,18,26,10.15,1.21,0.37,0.11,Moderate
Tamil Nadu,Vellore,12.9165,79.1325,Clay,6.88,High,Medium,29,39,32,20.51,1.26,0.37,0.21,Moderate
Tamil Nadu,Vellore,12.9165,79.1325,Red Loam,6.19,Low,High,45,22,33,17.38,1.26,0.37,0.09,Good
Tamil Nadu,Ranipet,12.924,79.3333,Loam,6.45,High,High,40,30,30,10.07,1.43,0.24,0.18,Good
Tamil Nadu,Ranipet,12.924,79.3333,Clay Loam,6.67,Medium,Medium,35,36,29,20.77,1.49,0.35,0.12,Good
Tamil Nadu,Ranipet,12.924,79.3333,Sandy Loam,6.92,Medium,Medium,60,21,19,21.45,1.24,0.31,0.12,Moderate
Tamil Nadu,Ranipet,12.924,79.3333,Clay,7.14,Low,High,32,42,26,19.31,1.27,0.24,0.13,Moderate
Tamil Nadu,Ranipet,12.924,79.3333,Red Loam,6.25,Low,High,52,26,22,17.69,1.56,0.31,0.14,Good
Tamil Nadu,Tirupattur,12.496,78.5645,Loam,6.28,Low,High,45,27,28,14.23,1.49,0.35,0.13,Good
Tamil Nadu,Tirupattur,12.496,78.5645,Clay Loam,6.87,Medium,High,36,37,27,16.96,1.22,0.27,0.09,Good
Tamil Nadu,Tirupattur,12.496,78.5645,Sandy Loam,6.85,Medium,Medium,59,22,19,13.16,1.48,0.36,0.2,Moderate
Tamil Nadu,Tirupattur,12.496,78.5645,Clay,7.12,High,High,36,40,24,17.08,1.53,0.28,0.14,Moderate
Tamil Nadu,Tirupattur,12.496,78.5645,Red Loam,6.06,Medium,Medium,50,28,22,18.72,1.56,0.36,0.19,Good
Tamil Nadu,Tiruvannamalai,12.2253,79.0747,Loam,6.43,High,Low,44,29,27,11.5,1.29,0.3,0.14,Good
Tamil Nadu,Tiruvannamalai,12.2253,79.0747,Clay Loam,6.95,High,Low,36,36,28,15.24,1.42,0.38,0.11,Good
Tamil Nadu,Tiruvannamalai,12.2253,79.0747,Sandy Loam,6.75,High,High,61,19,20,23.91,1.45,0.29,0.13,Moderate
Tamil Nadu,Tiruvannamalai,12.2253,79.0747,Clay,7.1,Medium,High,29,37,34,12.11,1.45,0.24,0.1,Moderate
Tamil Nadu,Tiruvannamalai,12.2253,79.0747,Red Loam,6.36,Medium,High,52,27,21,12.54,1.23,0.26,0.15,Good
Tamil Nadu,Kanchipuram,12.8342,79.7036,Loam,6.63,Medium,Low,39,32,29,11.28,1.47,0.29,0.22,Good
Tamil Nadu,Kanchipuram,12.8342,79.7036,Clay Loam,6.67,Medium,Medium,34,37,29,20.46,1.6,0.29,0.15,Good
Tamil Nadu,Kanchipuram,12.8342,79.7036,Sandy Loam,6.58,Low,Medium,62,22,16,11.53,1.58,0.22,0.1,Moderate
Tamil Nadu,Kanchipuram,12.8342,79.7036,Clay,6.95,Medium,Low,32,40,28,19.73,1.35,0.34,0.14,Moderate
Tamil Nadu,Kanchipuram,12.8342,79.7036,Red Loam,6.27,Medium,High,48,25,27,22.13,1.32,0.34,0.17,Good
Tamil Nadu,Chengalpattu,12.6819,79.9671,Loam,6.24,Low,High,44,28,28,18.53,1.41,0.27,0.19,Good
Tamil Nadu,Chengalpattu,12.6819,79.9671,Clay Loam,6.88,Low,Medium,37,37,26,21.41,1.32,0.26,0.1,Good
Tamil Nadu,Chengalpattu,12.6819,79.9671,Sandy Loam,6.85,High,High,54,17,29,14.73,1.33,0.37,0.17,Moderate
Tamil Nadu,Chengalpattu,12.6819,79.9671,Clay,6.98,High,Medium,34,42,24,18.52,1.47,0.38,0.2,Moderate
Tamil Nadu,Chengalpattu,12.6819,79.9671,Red Loam,6.45,High,Medium,51,25,24,15.02,1.5,0.28,0.14,Good
Tamil Nadu,Thiruvallur,13.1439,79.9087,Loam,6.28,Medium,Medium,45,24,31,16.52,1.44,0.36,0.13,Good
Tamil Nadu,Thiruvallur,13.1439,79.9087,Clay Loam,6.94,Medium,Medium,34,31,35,13.66,1.32,0.36,0.18,Good
Tamil Nadu,Thiruvallur,13.1439,79.9087,Sandy Loam,6.55,Low,Low,57,14,29,12.47,1.48,0.37,0.21,Moderate
Tamil Nadu,Thiruvallur,13.1439,79.9087,Clay,6.92,High,High,29,44,27,18.64,1.32,0.24,0.14,Moderate
Tamil Nadu,Thiruvallur,13.1439,79.9087,Red Loam,6.01,Low,High,45,21,34,22.24,1.49,0.23,0.13,Good
Tamil Nadu,Krishnagiri,12.5186,78.2137,Loam,6.57,Medium,Medium,38,28,34,17.79,1.53,0.29,0.21,Good
Tamil Nadu,Krishnagiri,12.5186,78.2137,Clay Loam,6.66,High,High,36,34,30,12.31,1.36,0.23,0.14,Good
Tamil Nadu,Krishnagiri,12.5186,78.2137,Sandy Loam,6.84,High,High,61,21,18,12.06,1.2,0.34,0.1,Moderate
Tamil Nadu,Krishnagiri,12.5186,78.2137,Clay,6.71,High,Medium,31,40,29,17.33,1.26,0.27,0.19,Moderate
Tamil Nadu,Krishnagiri,12.5186,78.2137,Red Loam,6.29,Low,Medium,44,21,35,15.41,1.34,0.37,0.2,Good
Tamil Nadu,Dharmapuri,12.1211,78.1582,Loam,6.16,High,Low,39,28,33,12.72,1.3,0.27,0.16,Good
Tamil Nadu,Dharmapuri,12.1211,78.1582,Clay Loam,6.86,Medium,High,35,33,32,14.87,1.51,0.24,0.11,Good
Tamil Nadu,Dharmapuri,12.1211,78.1582,Sandy Loam,6.83,Medium,High,55,20,25,19.05,1.35,0.25,0.11,Moderate
Tamil Nadu,Dharmapuri,12.1211,78.1582,Clay,6.83,High,Medium,29,38,33,21.18,1.52,0.23,0.15,Moderate
Tamil Nadu,Dharmapuri,12.1211,78.1582,Red Loam,6.37,Medium,High,47,24,29,22.91,1.57,0.24,0.14,Good
